,a,b,sim_score
2295,0,d,0.0
2294,0,e,0.0
2293,0,f,0.0
2292,0,g,0.0
2291,0,h,0.0
2299,0,i,0.0
2311,0,j,0.0
2312,0,k,0.0
2313,0,l,0.0
2334,0,m,0.0
2333,0,n,0.0
2332,0,o,0.0
2331,0,p,0.0
2330,0,q,0.0
2329,0,r,0.0
2328,0,s,0.0
2327,0,t,0.0
2326,0,u,0.0
2325,0,v,0.0
2324,0,w,0.0
2323,0,x,0.0
2322,0,y,0.0
2321,0,z,0.0
2320,0,{,0.0
2319,0,|,0.0
2318,0,},0.0
2317,0,~,0.0
2833,1,!,0.0
2832,1,"""",0.0
2831,1,#,0.0
2830,1,$,0.0
2829,1,%,0.0
2828,1,&,0.0
2827,1,',0.0
2826,1,(,0.0
2825,1,),0.0
2801,1,*,0.0
2800,1,+,0.0
2799,1,",",0.0
2775,1,-,0.0
2773,1,.,0.0
2772,1,/,0.0
2771,1,0,0.0
1252,1,2,0.06739962100982601
236,1,4,0.254917412996292
154,1,7,0.29795482754707303
1160,1,<,0.077844627201557
719,1,>,0.131390735507011
864,1,@,0.11221884191036201
232,1,A,0.256473422050476
1748,1,F,0.027359023690223003
1519,1,G,0.043958526104688006
816,1,H,0.118139363825321
70,1,I,0.39023560285568204
1124,1,J,0.08157112449407501
460,1,L,0.175525799393653
1832,1,M,0.021543096750974003
1074,1,N,0.08637386560440001
189,1,T,0.27571707963943404
1976,1,Y,0.011333147063851001
1420,1,Z,0.052907146513462004
593,1,[,0.151225015521049
765,1,\,0.124324023723602
116,1,],0.325528234243392
211,1,a,0.264428794384002
2821,1,d,0.0
2812,1,e,0.0
2810,1,f,0.0
2809,1,g,0.0
2808,1,h,0.0
2807,1,i,0.0
2806,1,j,0.0
2805,1,k,0.0
2804,1,l,0.0
2803,1,m,0.0
2802,1,n,0.0
2811,1,o,0.0
2822,1,p,0.0
2823,1,q,0.0
2824,1,r,0.0
2845,1,s,0.0
2844,1,t,0.0
2843,1,u,0.0
2842,1,v,0.0
2841,1,w,0.0
2840,1,x,0.0
2839,1,y,0.0
2838,1,z,0.0
2837,1,{,0.0
2836,1,|,0.0
2835,1,},0.0
2834,1,~,0.0
2790,2,!,0.0
2789,2,"""",0.0
2798,2,#,0.0
2788,2,$,0.0
2786,2,%,0.0
2785,2,&,0.0
2784,2,',0.0
2783,2,(,0.0
2782,2,),0.0
2781,2,*,0.0
2780,2,+,0.0
2779,2,",",0.0
2778,2,-,0.0
2846,2,.,0.0
2847,2,/,0.0
2848,2,0,0.0
2849,2,1,0.0
563,2,3,0.15691883862018502
1409,2,4,0.054052397608757005
1449,2,6,0.050236571580171
478,2,7,0.17328791320323902
1358,2,9,0.057680159807205006
21,2,?,0.5140838623046871
1499,2,B,0.045575629919767005
516,2,C,0.16586939990520402
921,2,D,0.10387884080410001
616,2,E,0.148659959435462
504,2,G,0.167966336011886
680,2,J,0.138459607958793
202,2,L,0.26851791143417303
1659,2,P,0.034720972180366
677,2,Q,0.138961851596832
1762,2,R,0.026745095849037
1357,2,S,0.057918678969144
144,2,Z,0.303385853767395
1984,2,[,0.010768309235572001
890,2,],0.107876360416412
421,2,a,0.18796411156654302
1636,2,b,0.035669293254613
257,2,c,0.245768830180168
2770,2,d,0.0
2769,2,e,0.0
2768,2,f,0.0
2767,2,g,0.0
2766,2,h,0.0
2774,2,i,0.0
2765,2,j,0.0
2763,2,k,0.0
2762,2,l,0.0
2761,2,m,0.0
2760,2,n,0.0
2759,2,o,0.0
2758,2,p,0.0
2757,2,q,0.0
2756,2,r,0.0
2755,2,s,0.0
2764,2,t,0.0
2776,2,u,0.0
2787,2,v,0.0
2777,2,w,0.0
2797,2,x,0.0
2796,2,y,0.0
2795,2,z,0.0
2794,2,{,0.0
2793,2,|,0.0
2792,2,},0.0
2791,2,~,0.0
2937,3,!,0.0
2936,3,"""",0.0
2935,3,#,0.0
2934,3,$,0.0
2933,3,%,0.0
2932,3,&,0.0
2931,3,',0.0
2930,3,(,0.0
2929,3,),0.0
2928,3,*,0.0
2927,3,+,0.0
2926,3,",",0.0
2925,3,-,0.0
2924,3,.,0.0
2923,3,/,0.0
2922,3,0,0.0
2921,3,1,0.0
2897,3,2,0.0
58,3,5,0.41164332628250105
248,3,6,0.250866532325744
1921,3,7,0.01533811353147
85,3,8,0.36481022834777804
121,3,9,0.32007271051406805
1373,3,:,0.056307055056095005
381,3,;,0.19885426759719801
2053,3,<,0.004838198423385
1830,3,=,0.021622853353619003
356,3,>,0.208451524376869
123,3,?,0.318740367889404
131,3,B,0.311101078987121
1626,3,G,0.036384552717208
1931,3,J,0.014676580205559002
2030,3,P,0.0062361396849150005
750,3,Q,0.126436278223991
1254,3,R,0.067236065864562
57,3,S,0.414733707904815
1599,3,U,0.038816023617982004
1422,3,V,0.052255798131227
1896,3,W,0.017233755439519
155,3,a,0.296627610921859
972,3,b,0.097748763859272
1627,3,c,0.036297336220741
2916,3,d,0.0
2915,3,e,0.0
2914,3,f,0.0
2913,3,g,0.0
2912,3,h,0.0
2911,3,i,0.0
2910,3,j,0.0
2909,3,k,0.0
2917,3,l,0.0
2908,3,m,0.0
2906,3,n,0.0
2905,3,o,0.0
2904,3,p,0.0
2903,3,q,0.0
2902,3,r,0.0
2901,3,s,0.0
2900,3,t,0.0
2899,3,u,0.0
2898,3,v,0.0
2907,3,w,0.0
2918,3,x,0.0
2919,3,y,0.0
2920,3,z,0.0
2941,3,{,0.0
2940,3,|,0.0
2939,3,},0.0
2938,3,~,0.0
2893,4,!,0.0
2892,4,"""",0.0
2891,4,#,0.0
2890,4,$,0.0
2889,4,%,0.0
2888,4,&,0.0
2887,4,',0.0
2886,4,(,0.0
2885,4,),0.0
2884,4,*,0.0
2883,4,+,0.0
2882,4,",",0.0
2881,4,-,0.0
2880,4,.,0.0
2879,4,/,0.0
2878,4,0,0.0
2877,4,1,0.0
2876,4,2,0.0
2875,4,3,0.0
579,4,6,0.153075411915779
788,4,7,0.12212838232517201
301,4,<,0.22443687915802002
2088,4,=,0.003027819097042
84,4,A,0.364867985248565
482,4,C,0.172188460826873
2008,4,G,0.008787723258137
457,4,H,0.17647925019264202
1356,4,K,0.057929858565330006
714,4,L,0.13285441696643802
317,4,M,0.220328465104103
343,4,N,0.21301166713237701
1438,4,O,0.051136299967765
1027,4,Q,0.090924702584743
1994,4,X,0.010355559177696
38,4,Z,0.44610226154327304
727,4,[,0.13068251311779
627,4,\,0.14682570099830602
335,4,a,0.216475427150726
886,4,c,0.10921445488929701
2942,4,d,0.0
2896,4,e,0.0
2894,4,f,0.0
2869,4,g,0.0
2868,4,h,0.0
2867,4,i,0.0
2866,4,j,0.0
2865,4,k,0.0
2864,4,l,0.0
2863,4,m,0.0
2862,4,n,0.0
2861,4,o,0.0
2870,4,p,0.0
2860,4,q,0.0
2858,4,r,0.0
2857,4,s,0.0
2856,4,t,0.0
2855,4,u,0.0
2854,4,v,0.0
2853,4,w,0.0
2852,4,x,0.0
2851,4,y,0.0
2850,4,z,0.0
2859,4,{,0.0
2871,4,|,0.0
2872,4,},0.0
2873,4,~,0.0
2632,5,!,0.0
2633,5,"""",0.0
2653,5,#,0.0
2652,5,$,0.0
2651,5,%,0.0
2650,5,&,0.0
2649,5,',0.0
2648,5,(,0.0
2647,5,),0.0
2646,5,*,0.0
2645,5,+,0.0
2644,5,",",0.0
2643,5,-,0.0
2642,5,.,0.0
2641,5,/,0.0
2640,5,0,0.0
2639,5,1,0.0
2638,5,2,0.0
2637,5,3,0.0
2636,5,4,0.0
80,5,6,0.36950963735580405
2109,5,8,0.0016839271411290002
1609,5,9,0.037898510694503
1845,5,;,0.020411334931850003
782,5,=,0.12272869050502701
1017,5,?,0.092718169093132
716,5,B,0.13207185268402102
564,5,C,0.156109690666198
1131,5,E,0.080479726195335
1444,5,F,0.050565879791975
1804,5,H,0.023850562050938003
773,5,J,0.12387100607156701
1574,5,L,0.040359765291213004
1852,5,N,0.019919462502002
357,5,S,0.20841248333454102
509,5,T,0.16733480989933
1279,5,U,0.06495881825685501
1850,5,V,0.020016862079501003
552,5,[,0.16039490699768003
208,5,b,0.265828758478164
541,5,c,0.161883637309074
2874,5,d,0.0
2754,5,e,0.0
2895,5,f,0.0
2753,5,g,0.0
2704,5,h,0.0
2629,5,i,0.0
2628,5,j,0.0
2627,5,k,0.0
2626,5,l,0.0
2625,5,m,0.0
2624,5,n,0.0
2623,5,o,0.0
2622,5,p,0.0
2621,5,q,0.0
2630,5,r,0.0
2620,5,s,0.0
2618,5,t,0.0
2617,5,u,0.0
2616,5,v,0.0
2615,5,w,0.0
2614,5,x,0.0
2613,5,y,0.0
2612,5,z,0.0
2611,5,{,0.0
2610,5,|,0.0
2619,5,},0.0
2631,5,~,0.0
2585,6,!,0.0
2595,6,"""",0.0
2586,6,#,0.0
2605,6,$,0.0
2604,6,%,0.0
2603,6,&,0.0
2602,6,',0.0
2601,6,(,0.0
2600,6,),0.0
2599,6,*,0.0
2598,6,+,0.0
2597,6,",",0.0
2606,6,-,0.0
2596,6,.,0.0
2594,6,/,0.0
2593,6,0,0.0
2592,6,1,0.0
2591,6,2,0.0
2590,6,3,0.0
2589,6,4,0.0
2588,6,5,0.0
233,6,8,0.255808860063552
640,6,9,0.144936338067054
2083,6,:,0.0033564115874460004
993,6,<,0.095362842082977
1858,6,=,0.019592484459280003
1242,6,A,0.068535923957824
224,6,B,0.259330242872238
65,6,C,0.39623928070068304
1472,6,D,0.047956876456737005
1461,6,E,0.04889628663659001
2128,6,F,0.000980803743004
414,6,G,0.19007875025272303
1907,6,H,0.016562120988965
720,6,O,0.13137224316596902
1655,6,Q,0.034794054925441
573,6,S,0.15433380007743802
1668,6,V,0.033973064273595005
998,6,Z,0.094726480543613
1343,6,[,0.05946938693523401
575,6,a,0.15405142307281403
91,6,b,0.356121480464935
137,6,c,0.30591833591461104
2635,6,d,0.0
2634,6,e,0.0
2609,6,f,0.0
2608,6,g,0.0
2607,6,h,0.0
2584,6,i,0.0
2582,6,j,0.0
2581,6,k,0.0
2580,6,l,0.0
2579,6,m,0.0
2578,6,n,0.0
2577,6,o,0.0
2576,6,p,0.0
2575,6,q,0.0
2574,6,r,0.0
2583,6,s,0.0
2573,6,t,0.0
2571,6,u,0.0
2570,6,v,0.0
2569,6,w,0.0
2568,6,x,0.0
2567,6,y,0.0
2566,6,z,0.0
2565,6,{,0.0
2564,6,|,0.0
2563,6,},0.0
2572,6,~,0.0
2729,7,!,0.0
2730,7,"""",0.0
2750,7,#,0.0
2749,7,$,0.0
2748,7,%,0.0
2747,7,&,0.0
2746,7,',0.0
2745,7,(,0.0
2744,7,),0.0
2743,7,*,0.0
2742,7,+,0.0
2741,7,",",0.0
2740,7,-,0.0
2739,7,.,0.0
2738,7,/,0.0
2737,7,0,0.0
2736,7,1,0.0
2735,7,2,0.0
2734,7,3,0.0
2733,7,4,0.0
2732,7,5,0.0
2731,7,6,0.0
1904,7,:,0.016844380646944
1346,7,=,0.059155099093914004
48,7,>,0.43034633994102406
